epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,14514.6,0.74926,0.9247,1.23099,0.80709,0.78229,0.86153,0.67247,0.85538,0.67667,1.32163,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,14830.3,0.75004,0.92125,1.22892,0.80246,0.78816,0.862,0.67247,0.85753,0.67507,1.32477,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,15145.4,0.74619,0.91248,1.22689,0.80319,0.7847,0.86297,0.67328,0.86113,0.67606,1.32897,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,15461.2,0.74305,0.91215,1.2256,0.80277,0.79101,0.86392,0.67358,0.86305,0.67579,1.33131,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,15777.7,0.74652,0.91398,1.2255,0.80703,0.78798,0.8647,0.67525,0.86499,0.67354,1.33374,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,16093.5,0.74535,0.90425,1.22555,0.80798,0.78873,0.8654,0.6757,0.8638,0.67176,1.33213,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,16409,0.73993,0.90616,1.22225,0.80862,0.79052,0.8659,0.67508,0.86386,0.67004,1.332,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,16724.4,0.73822,0.90074,1.22152,0.80902,0.79135,0.86646,0.67556,0.86373,0.66715,1.33151,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,17040.1,0.73568,0.89831,1.22017,0.81799,0.79104,0.86769,0.67689,0.86385,0.66467,1.33193,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,17356.7,0.73749,0.8918,1.21902,0.81833,0.79161,0.86863,0.67749,0.86309,0.66302,1.33116,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,17673.1,0.73546,0.89234,1.21968,0.8142,0.79287,0.86917,0.67866,0.86295,0.6614,1.33063,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,17989.4,0.73566,0.88589,1.22024,0.81401,0.79261,0.86929,0.67788,0.8622,0.66134,1.33043,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,18305.4,0.73366,0.88691,1.21841,0.81817,0.79327,0.87031,0.67987,0.86056,0.66068,1.32814,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,18621.1,0.72702,0.87791,1.2137,0.81409,0.79508,0.87108,0.68002,0.85942,0.65741,1.32731,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,18937.3,0.72709,0.87918,1.21415,0.81089,0.80297,0.87157,0.68027,0.85837,0.65581,1.32656,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,19252.5,0.72674,0.87304,1.21434,0.80973,0.80346,0.87223,0.68141,0.85758,0.65496,1.3253,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,19568.5,0.72527,0.86981,1.21388,0.80715,0.80334,0.8727,0.68301,0.85638,0.65336,1.32393,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,19884.8,0.72042,0.86418,1.20997,0.80926,0.80502,0.87355,0.68473,0.8571,0.65202,1.32405,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,20200,0.7208,0.86025,1.20926,0.81079,0.80383,0.87418,0.68462,0.85748,0.64956,1.32417,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,20515.4,0.72041,0.85457,1.21141,0.8085,0.80601,0.8754,0.68484,0.85681,0.64734,1.32396,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,20831.1,0.71937,0.85335,1.20818,0.81162,0.80434,0.87586,0.68612,0.85579,0.64659,1.32286,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,21146.7,0.71725,0.85181,1.20666,0.81028,0.80667,0.87613,0.6859,0.85591,0.64385,1.32311,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,21462.2,0.71296,0.84163,1.20369,0.81062,0.80818,0.87692,0.68599,0.85521,0.64289,1.32241,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,21777.6,0.7132,0.83888,1.20466,0.814,0.8019,0.87806,0.68643,0.85464,0.64149,1.32215,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,22093.1,0.71048,0.83379,1.20323,0.81698,0.80132,0.87942,0.68801,0.85321,0.63947,1.32129,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,22408.8,0.70991,0.83167,1.202,0.82197,0.79828,0.8806,0.68841,0.85236,0.63812,1.32043,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,22725,0.7093,0.82773,1.20168,0.82287,0.79835,0.88138,0.68915,0.85298,0.63653,1.32113,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,23040.6,0.70468,0.82134,1.1974,0.82657,0.79676,0.88216,0.68971,0.85131,0.6352,1.31923,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,23354.6,inf,0.81797,1.19699,0.82572,0.79866,0.88289,0.69089,0.85066,0.63404,1.31859,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,23668.8,0.70152,0.8143,1.19781,0.82297,0.80507,0.88334,0.69058,0.85036,0.63216,1.3179,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,23983.6,0.70267,0.811,1.19677,0.82109,0.80411,0.88401,0.69147,0.84973,0.63049,1.31711,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,24297.4,0.69894,0.80805,1.19402,0.82386,0.80566,0.88469,0.69083,0.84995,0.62995,1.31752,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,24611.9,0.69557,0.80439,1.19384,0.82573,0.8041,0.88558,0.692,0.84837,0.62773,1.31578,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,24925.5,0.69367,0.79809,1.19203,0.8283,0.80487,0.88543,0.69229,0.84711,0.626,1.31422,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,25239.3,0.69127,0.79241,1.18968,0.82768,0.80085,0.88563,0.69251,0.84564,0.62518,1.31271,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,25553.2,0.68811,0.78688,1.18814,0.82912,0.80359,0.88586,0.69361,0.84451,0.62437,1.31107,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,25867.6,0.68596,0.77977,1.187,0.83006,0.80436,0.8862,0.69416,0.84227,0.6245,1.30808,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,26181.3,inf,0.7803,1.18647,0.8272,0.81055,0.88665,0.69478,0.84027,0.62375,1.30563,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,26494.6,0.68351,0.7697,1.18421,0.83132,0.81082,0.88692,0.69621,0.83781,0.62296,1.30254,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,26807.8,0.68096,0.76958,1.18239,0.83415,0.80523,0.88686,0.69693,0.83656,0.62163,1.30139,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,27121.7,0.67469,0.75926,1.17986,0.83235,0.81115,0.8866,0.69716,0.83599,0.62056,1.3015,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
