epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,37114.3,0.68562,0.7794,1.18661,0.82006,0.81518,0.8823,0.69902,0.81866,0.61161,1.28982,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,37537.7,0.68332,0.77504,1.18637,0.82335,0.81005,0.88268,0.69948,0.8179,0.61104,1.28878,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,37963.1,0.68016,0.76763,1.18316,0.8228,0.80919,0.88305,0.69927,0.81724,0.61046,1.28773,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,38385.5,0.67412,0.76214,1.18033,0.82197,0.81125,0.88397,0.70101,0.81642,0.6097,1.28673,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,38806.5,0.68008,0.53196,1.27714,0.81889,0.81223,0.88447,0.70193,0.81605,0.60821,1.28677,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,39224.3,0.66988,0.51712,1.2678,0.8183,0.81807,0.88512,0.70301,0.81465,0.60545,1.2851,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,39640.9,0.66031,0.50352,1.25839,0.82509,0.81689,0.88559,0.70262,0.81342,0.60373,1.28357,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,40057.3,inf,0.491,1.25588,0.81878,0.82403,0.88621,0.7035,0.81234,0.60184,1.28258,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,40475.9,0.65092,0.4802,1.24985,0.81662,0.82575,0.88634,0.70345,0.81129,0.60009,1.28185,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,40893.1,0.64378,0.46869,1.2456,0.81993,0.82471,0.88656,0.70451,0.80997,0.59907,1.28054,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,41310.5,0.63806,0.46006,1.24053,0.83183,0.81257,0.88661,0.70484,0.80868,0.59877,1.27924,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,41729.1,0.63416,0.45247,1.23545,0.81684,0.82114,0.88652,0.70443,0.8077,0.59887,1.27831,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,42148.6,inf,0.44214,1.23303,0.82079,0.81899,0.88652,0.70458,0.80657,0.59837,1.27696,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,42565.9,0.62384,0.43527,1.22732,0.81572,0.82341,0.88678,0.70511,0.80539,0.59873,1.27545,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
